Imst; 1
Pians; 1
Kirchberg in Tirol; 2
Stanz bei Landeck; 11
Sautens; 1
Natters; 2
Telfs; 1
Going am Wilden Kaiser; 2
Thaur; 1
Ellmau; 1
Angerberg; 2
Langkampfen; 13
Finkenberg; 19
Tux; 4
Soell; 1
Laengenfeld; 6
Schmirn; 3
St. Sigmund im Sellrain; 1
Hall in Tirol; 1
Voels; 2
Innsbruck; 373
Schwendau; 6
Waengle; 1
Wildermieming; 1
Volders; 1
Lechaschau; 44
St. Johann in Tirol; 14
Landeck; 6
Moetz; 1
Wenns; 1
Kundl; 9
Mutters; 1
Stans; 1
Brixen im Thale; 7
Baumkirchen; 1
Oberlienz; 4
Mils bei Imst; 1
Vomp; 6
St. Anton am Arlberg; 14
Kaunertal; 1
Ischgl; 9
Muenster; 1
Soelden; 34
Telfes im Stubai; 1
Kramsach; 2
St. Leonhard im Pitztal; 1
Zams; 1
Grins; 2
Kitzbuehel; 7
Lienz; 1
Ried im Zillertal; 5
Breitenbach am Inn; 3
Obertilliach; 1
Kufstein; 6
Fuegenberg; 31
Westendorf; 3
Gerlos; 1
Reith bei Kitzbuehel; 6
Tristach; 1
Ehrwald; 1
Kaltenbach; 3
See; 1
Koessen; 5
Hopfgarten im Brixental; 126
Hippach; 3
Eben am Achensee; 1
Thiersee; 7
Neustift im Stubaital; 1
Galtuer; 1
